Bus ID,Bus Type,Capacity,Battery Type,Battery Capacity
5210,Urban,67,Lithium-Ion,293
5211,Urban,61,Lead-Acid,238
5212,Suburban,70,Lead-Acid,207
5213,Urban,67,Lead-Acid,275
5214,Suburban,56,Lead-Acid,195
5215,Urban,79,Lithium-Ion,157
5216,Suburban,69,Lead-Acid,156
5217,Urban,65,Lead-Acid,199
5218,Urban,44,Lithium-Ion,246
5219,Urban,67,Lead-Acid,156
5220,Urban,59,Lithium-Ion,241
5221,Urban,77,Lithium-Ion,278
5222,Urban,44,Lead-Acid,165
5223,Urban,74,Lead-Acid,294
5224,Suburban,58,Lithium-Ion,208
5225,Urban,47,Lithium-Ion,173
5226,Suburban,60,Lead-Acid,240
5227,Urban,49,Lithium-Ion,262
5228,Urban,62,Lithium-Ion,238
5229,Urban,65,Lithium-Ion,277
5230,Suburban,70,Lead-Acid,271
5231,Suburban,79,Lead-Acid,280
5232,Urban,45,Lithium-Ion,242
5233,Suburban,69,Lithium-Ion,210
5234,Suburban,58,Lead-Acid,221
5235,Urban,46,Lithium-Ion,182
5236,Suburban,45,Lithium-Ion,175
5237,Suburban,61,Lithium-Ion,230
5238,Suburban,53,Lithium-Ion,218
5239,Urban,69,Lithium-Ion,202
5240,Suburban,44,Lead-Acid,189
5241,Urban,67,Lead-Acid,212
5242,Urban,68,Lithium-Ion,232
5243,Suburban,71,Lithium-Ion,201
5244,Suburban,43,Lead-Acid,257
5245,Suburban,79,Lithium-Ion,281
5246,Suburban,63,Lithium-Ion,218
5247,Suburban,76,Lead-Acid,244
5248,Suburban,75,Lithium-Ion,241
5249,Suburban,67,Lead-Acid,248
5250,Suburban,74,Lead-Acid,152
5251,Suburban,41,Lithium-Ion,224
5252,Urban,50,Lead-Acid,221
5253,Urban,43,Lithium-Ion,220
5254,Urban,78,Lithium-Ion,242
5255,Urban,75,Lithium-Ion,284
5256,Urban,59,Lead-Acid,229
5257,Suburban,51,Lead-Acid,240
5258,Suburban,61,Lithium-Ion,193
5259,Urban,58,Lead-Acid,263
5260,Suburban,79,Lithium-Ion,177
5261,Suburban,66,Lead-Acid,297
5262,Urban,55,Lithium-Ion,287
5263,Suburban,49,Lead-Acid,176
5264,Urban,73,Lead-Acid,288
5265,Urban,75,Lithium-Ion,185
5266,Urban,58,Lead-Acid,263
5267,Suburban,67,Lithium-Ion,273
5268,Suburban,63,Lead-Acid,209
5269,Suburban,67,Lead-Acid,284
5270,Suburban,68,Lead-Acid,245
5271,Urban,42,Lithium-Ion,285
5272,Suburban,44,Lithium-Ion,155
5273,Suburban,70,Lead-Acid,190
5274,Urban,68,Lithium-Ion,219
5275,Suburban,79,Lithium-Ion,260
5276,Suburban,78,Lithium-Ion,230
5277,Suburban,40,Lead-Acid,183
5278,Urban,42,Lithium-Ion,275
5279,Urban,53,Lithium-Ion,231
5280,Urban,51,Lithium-Ion,233
5281,Suburban,50,Lithium-Ion,183
5282,Urban,43,Lithium-Ion,230
5283,Urban,53,Lead-Acid,168
5284,Urban,51,Lithium-Ion,277
5285,Suburban,45,Lead-Acid,247
5286,Urban,43,Lead-Acid,169
5287,Suburban,65,Lithium-Ion,235
5288,Suburban,50,Lead-Acid,245
5289,Urban,55,Lead-Acid,272
5290,Suburban,72,Lithium-Ion,186
5291,Urban,63,Lithium-Ion,226
5292,Suburban,68,Lead-Acid,299
5293,Suburban,50,Lithium-Ion,296
5294,Urban,52,Lithium-Ion,260
5295,Suburban,58,Lead-Acid,157
5296,Suburban,41,Lithium-Ion,276
5297,Urban,50,Lead-Acid,246
5298,Urban,54,Lithium-Ion,223
5299,Urban,74,Lithium-Ion,155
5300,Suburban,71,Lithium-Ion,165
5301,Urban,51,Lithium-Ion,230
5302,Urban,46,Lead-Acid,213
5303,Suburban,48,Lithium-Ion,190
5304,Suburban,61,Lead-Acid,269
5305,Suburban,54,Lead-Acid,187
5306,Urban,45,Lithium-Ion,153
5307,Urban,61,Lead-Acid,253
5308,Urban,52,Lithium-Ion,281
5309,Suburban,76,Lithium-Ion,236
5310,Suburban,47,Lead-Acid,217
5311,Urban,46,Lead-Acid,266
5312,Suburban,46,Lead-Acid,193
5313,Urban,49,Lead-Acid,153
5314,Suburban,76,Lithium-Ion,251
5315,Urban,49,Lead-Acid,284
5316,Suburban,69,Lead-Acid,189
5317,Suburban,58,Lead-Acid,255
5318,Suburban,78,Lead-Acid,239
5319,Urban,41,Lead-Acid,258
5320,Suburban,59,Lithium-Ion,246
5321,Urban,54,Lead-Acid,190
5322,Suburban,75,Lithium-Ion,180
5323,Urban,56,Lithium-Ion,267
5324,Urban,75,Lithium-Ion,208
5325,Urban,55,Lead-Acid,194
5326,Suburban,47,Lithium-Ion,179
5327,Suburban,49,Lead-Acid,278
5328,Suburban,69,Lithium-Ion,209
5329,Suburban,58,Lithium-Ion,164
5330,Urban,41,Lead-Acid,272
5331,Urban,71,Lithium-Ion,289
5332,Suburban,62,Lithium-Ion,184
5333,Urban,78,Lithium-Ion,189
5334,Urban,49,Lead-Acid,204
5335,Urban,64,Lithium-Ion,166
5336,Suburban,52,Lithium-Ion,278
5337,Urban,74,Lead-Acid,291
5338,Urban,48,Lithium-Ion,255
5339,Urban,77,Lithium-Ion,203
5340,Suburban,41,Lithium-Ion,217
5341,Suburban,60,Lead-Acid,222
5342,Suburban,61,Lead-Acid,175
5343,Suburban,49,Lithium-Ion,162
5344,Urban,57,Lithium-Ion,284
5345,Suburban,61,Lead-Acid,210
5346,Urban,45,Lead-Acid,239
5347,Urban,47,Lead-Acid,201
5348,Urban,55,Lead-Acid,202
5349,Urban,49,Lithium-Ion,286
5350,Urban,76,Lead-Acid,166
5351,Urban,46,Lithium-Ion,249
5352,Urban,42,Lead-Acid,190
5353,Suburban,71,Lithium-Ion,194
5354,Urban,67,Lead-Acid,159
5355,Urban,54,Lead-Acid,164
5356,Urban,67,Lead-Acid,223
5357,Suburban,40,Lead-Acid,283
5358,Suburban,63,Lead-Acid,273
5359,Suburban,66,Lead-Acid,213
5360,Urban,54,Lead-Acid,200
5361,Urban,71,Lithium-Ion,154
5362,Suburban,63,Lead-Acid,214
5363,Suburban,79,Lead-Acid,202
5364,Suburban,44,Lithium-Ion,214
5365,Urban,74,Lead-Acid,255
5366,Suburban,68,Lithium-Ion,260
5367,Suburban,78,Lithium-Ion,281
5368,Urban,56,Lead-Acid,268
5369,Urban,73,Lead-Acid,285
5370,Suburban,42,Lead-Acid,232
5371,Suburban,67,Lead-Acid,212
5372,Urban,72,Lead-Acid,228
5373,Suburban,64,Lithium-Ion,224
5374,Urban,68,Lithium-Ion,186
5375,Urban,53,Lead-Acid,223
5376,Suburban,50,Lithium-Ion,161
5377,Urban,70,Lithium-Ion,154
5378,Suburban,50,Lead-Acid,169
5379,Urban,59,Lead-Acid,167
5380,Urban,78,Lead-Acid,245
5381,Urban,40,Lithium-Ion,217
5382,Suburban,58,Lead-Acid,186
5383,Urban,78,Lead-Acid,234
5384,Urban,61,Lead-Acid,226
5385,Urban,51,Lead-Acid,257
5386,Urban,77,Lithium-Ion,182
5387,Urban,40,Lithium-Ion,289
5388,Suburban,44,Lead-Acid,259
5389,Urban,41,Lithium-Ion,225
5390,Urban,65,Lead-Acid,263
5391,Suburban,76,Lead-Acid,275
5392,Urban,65,Lead-Acid,256
5393,Urban,57,Lead-Acid,207
5394,Suburban,76,Lead-Acid,255
5395,Urban,42,Lithium-Ion,244
5396,Urban,55,Lead-Acid,267
5397,Suburban,68,Lithium-Ion,154
5398,Urban,43,Lithium-Ion,150
5399,Suburban,59,Lithium-Ion,276
5400,Urban,53,Lithium-Ion,191
5401,Urban,65,Lithium-Ion,208
5402,Suburban,73,Lithium-Ion,201
5403,Suburban,63,Lead-Acid,216
5404,Urban,55,Lead-Acid,295
5405,Urban,56,Lead-Acid,165
5406,Urban,66,Lead-Acid,211
5407,Urban,58,Lead-Acid,219
5408,Urban,40,Lead-Acid,236
5409,Suburban,76,Lithium-Ion,192
5410,Urban,79,Lead-Acid,295
5411,Urban,45,Lead-Acid,166
5412,Urban,53,Lead-Acid,274
5413,Urban,64,Lithium-Ion,284
5414,Urban,61,Lead-Acid,233
5415,Urban,62,Lithium-Ion,156
5416,Suburban,40,Lithium-Ion,168
5417,Urban,56,Lithium-Ion,236
5418,Suburban,49,Lithium-Ion,238
5419,Urban,72,Lithium-Ion,161
5420,Urban,68,Lead-Acid,270
5421,Urban,75,Lithium-Ion,180
5422,Suburban,64,Lead-Acid,238
5423,Urban,74,Lithium-Ion,255
5424,Urban,55,Lead-Acid,254
5425,Urban,77,Lead-Acid,180
5426,Urban,53,Lithium-Ion,231
5427,Urban,49,Lithium-Ion,195
5428,Suburban,59,Lead-Acid,209
5429,Urban,76,Lead-Acid,188
5430,Urban,63,Lithium-Ion,162
5431,Suburban,55,Lithium-Ion,192
5432,Suburban,74,Lithium-Ion,164
5433,Suburban,68,Lithium-Ion,237
5434,Urban,56,Lead-Acid,294
5435,Urban,48,Lead-Acid,259
5436,Suburban,75,Lithium-Ion,160
5437,Suburban,49,Lithium-Ion,296
5438,Suburban,73,Lithium-Ion,292
5439,Suburban,41,Lithium-Ion,231
5440,Suburban,69,Lithium-Ion,276
5441,Suburban,64,Lithium-Ion,168
5442,Urban,64,Lead-Acid,244
5443,Suburban,52,Lead-Acid,258
5444,Urban,49,Lithium-Ion,163
5445,Suburban,42,Lead-Acid,207
5446,Suburban,60,Lithium-Ion,250
5447,Suburban,78,Lithium-Ion,194
5448,Urban,50,Lithium-Ion,277
5449,Suburban,64,Lithium-Ion,273
5450,Suburban,60,Lead-Acid,275
5451,Urban,79,Lithium-Ion,180
5452,Urban,46,Lithium-Ion,235
5453,Urban,61,Lead-Acid,249
5454,Suburban,48,Lead-Acid,274
5455,Urban,53,Lithium-Ion,235
5456,Urban,66,Lead-Acid,224
5457,Urban,52,Lithium-Ion,252
5458,Urban,59,Lithium-Ion,253
5459,Urban,70,Lithium-Ion,197
5460,Urban,70,Lithium-Ion,231
5461,Urban,77,Lithium-Ion,219
5462,Urban,52,Lithium-Ion,167
5463,Suburban,55,Lead-Acid,173
5464,Urban,65,Lead-Acid,203
5465,Urban,63,Lithium-Ion,167
5466,Suburban,59,Lead-Acid,250
5467,Suburban,69,Lead-Acid,231
5468,Urban,61,Lithium-Ion,222
5469,Urban,76,Lead-Acid,165
5470,Urban,41,Lithium-Ion,249
5471,Urban,53,Lithium-Ion,201
5472,Suburban,57,Lithium-Ion,198
5473,Urban,62,Lithium-Ion,177
5474,Urban,43,Lead-Acid,281
5475,Suburban,71,Lithium-Ion,273
5476,Suburban,43,Lithium-Ion,287
5477,Urban,59,Lead-Acid,283
5478,Urban,43,Lithium-Ion,220
5479,Suburban,70,Lead-Acid,256
5480,Suburban,58,Lithium-Ion,287
5481,Urban,49,Lithium-Ion,151
5482,Urban,66,Lead-Acid,282
5483,Urban,54,Lithium-Ion,276
5484,Suburban,78,Lead-Acid,248
5485,Suburban,64,Lithium-Ion,215
5486,Suburban,42,Lithium-Ion,270
5487,Urban,48,Lithium-Ion,188
5488,Suburban,56,Lead-Acid,252
5489,Urban,53,Lead-Acid,225
5490,Urban,51,Lead-Acid,156
5491,Suburban,72,Lead-Acid,221
5492,Suburban,40,Lithium-Ion,152
5493,Suburban,54,Lithium-Ion,275
5494,Suburban,63,Lead-Acid,188
5495,Urban,46,Lithium-Ion,180
5496,Suburban,48,Lithium-Ion,294
5497,Suburban,61,Lead-Acid,170
5498,Suburban,64,Lithium-Ion,247
5499,Urban,79,Lead-Acid,158
5500,Suburban,67,Lead-Acid,203
5501,Urban,53,Lead-Acid,246
5502,Urban,68,Lead-Acid,186
5503,Suburban,46,Lead-Acid,175
5504,Suburban,57,Lead-Acid,222
5505,Suburban,58,Lithium-Ion,231
5506,Urban,48,Lithium-Ion,249
5507,Urban,45,Lithium-Ion,199
5508,Suburban,44,Lithium-Ion,155
5509,Urban,76,Lithium-Ion,282
5510,Suburban,76,Lead-Acid,228
5511,Suburban,63,Lithium-Ion,174
5512,Suburban,78,Lead-Acid,280
5513,Suburban,61,Lithium-Ion,188
5514,Suburban,66,Lithium-Ion,235
5515,Urban,42,Lead-Acid,250
5516,Suburban,70,Lead-Acid,296
5517,Suburban,60,Lead-Acid,292
5518,Suburban,78,Lithium-Ion,189
5519,Urban,62,Lead-Acid,207
5520,Suburban,59,Lithium-Ion,280
5521,Urban,46,Lithium-Ion,206
5522,Urban,67,Lead-Acid,294
5523,Urban,53,Lithium-Ion,261
5524,Urban,48,Lead-Acid,272
5525,Urban,42,Lead-Acid,260
5526,Urban,76,Lead-Acid,278
5527,Urban,41,Lead-Acid,171
5528,Suburban,43,Lithium-Ion,288
5529,Suburban,75,Lithium-Ion,252
5530,Urban,77,Lead-Acid,260
5531,Suburban,69,Lithium-Ion,259
5532,Suburban,43,Lead-Acid,273
5533,Urban,43,Lithium-Ion,280
5534,Urban,64,Lithium-Ion,198
5535,Urban,64,Lead-Acid,291
5536,Urban,47,Lithium-Ion,185
5537,Urban,43,Lead-Acid,271
5538,Suburban,48,Lead-Acid,248
5539,Suburban,69,Lithium-Ion,273
5540,Suburban,43,Lithium-Ion,234
5541,Suburban,59,Lithium-Ion,243
5542,Suburban,42,Lead-Acid,169
5543,Suburban,59,Lithium-Ion,177
5544,Suburban,52,Lithium-Ion,231
5545,Suburban,43,Lithium-Ion,244
5546,Suburban,50,Lead-Acid,201
5547,Urban,64,Lead-Acid,179
5548,Suburban,47,Lithium-Ion,198
5549,Urban,66,Lead-Acid,159
5550,Urban,55,Lead-Acid,180
5551,Urban,62,Lithium-Ion,156
5552,Suburban,73,Lead-Acid,238
5553,Urban,50,Lead-Acid,248
5554,Urban,73,Lithium-Ion,251
5555,Suburban,55,Lead-Acid,257
5556,Suburban,46,Lithium-Ion,152
5557,Urban,43,Lead-Acid,165
5558,Suburban,60,Lithium-Ion,184
5559,Urban,41,Lithium-Ion,299
5560,Urban,46,Lead-Acid,204
5561,Suburban,78,Lithium-Ion,225
5562,Urban,76,Lead-Acid,239
5563,Urban,74,Lead-Acid,208
5564,Urban,76,Lead-Acid,161
5565,Suburban,69,Lithium-Ion,216
5566,Urban,60,Lithium-Ion,201
5567,Urban,73,Lithium-Ion,215
5568,Urban,68,Lithium-Ion,209
5569,Suburban,56,Lithium-Ion,287
5570,Suburban,60,Lead-Acid,262
5571,Suburban,66,Lithium-Ion,207
5572,Suburban,72,Lithium-Ion,202
5573,Suburban,73,Lead-Acid,214
5574,Suburban,56,Lead-Acid,170
5575,Suburban,64,Lithium-Ion,237
5576,Urban,63,Lead-Acid,244
5577,Suburban,60,Lithium-Ion,180
5578,Urban,78,Lithium-Ion,243
5579,Urban,55,Lithium-Ion,173
5580,Suburban,79,Lead-Acid,297
5581,Urban,68,Lead-Acid,197
5582,Suburban,48,Lithium-Ion,260
5583,Suburban,56,Lithium-Ion,203
5584,Suburban,47,Lithium-Ion,205
5585,Urban,61,Lithium-Ion,158
5586,Suburban,41,Lithium-Ion,217
5587,Suburban,63,Lead-Acid,286
5588,Urban,60,Lithium-Ion,195
5589,Urban,72,Lead-Acid,167
5590,Urban,58,Lithium-Ion,227
5591,Urban,53,Lead-Acid,191
5592,Urban,77,Lithium-Ion,151
5593,Suburban,63,Lithium-Ion,233
5594,Suburban,66,Lead-Acid,269
5595,Urban,69,Lead-Acid,244
5596,Urban,61,Lead-Acid,182
5597,Urban,65,Lithium-Ion,155
5598,Urban,75,Lead-Acid,222
5599,Urban,56,Lead-Acid,297
5600,Urban,74,Lead-Acid,220
5601,Urban,50,Lead-Acid,227
5602,Suburban,55,Lithium-Ion,198
5603,Suburban,55,Lithium-Ion,191
5604,Urban,70,Lead-Acid,294
5605,Suburban,55,Lithium-Ion,204
5606,Urban,73,Lead-Acid,287
5607,Urban,53,Lithium-Ion,242
5608,Suburban,73,Lithium-Ion,279
5609,Urban,75,Lead-Acid,288
5610,Urban,47,Lithium-Ion,203
5611,Suburban,66,Lead-Acid,229
5612,Suburban,76,Lithium-Ion,248
5613,Urban,73,Lithium-Ion,200
5614,Urban,45,Lithium-Ion,238
5615,Suburban,60,Lithium-Ion,292
5616,Suburban,69,Lead-Acid,278
5617,Suburban,49,Lithium-Ion,251
5618,Urban,74,Lithium-Ion,200
5619,Suburban,48,Lithium-Ion,291
5620,Suburban,63,Lithium-Ion,298
5621,Urban,77,Lead-Acid,271
5622,Urban,57,Lead-Acid,233
5623,Suburban,44,Lead-Acid,200
5624,Suburban,61,Lead-Acid,167
5625,Suburban,75,Lead-Acid,172
5626,Suburban,75,Lead-Acid,191
5627,Urban,75,Lead-Acid,283
5628,Urban,65,Lithium-Ion,156
5629,Urban,48,Lead-Acid,241
5630,Urban,48,Lead-Acid,254
5631,Urban,74,Lithium-Ion,223
5632,Suburban,50,Lithium-Ion,218
5633,Suburban,43,Lead-Acid,195
5634,Urban,54,Lead-Acid,153
5635,Suburban,77,Lead-Acid,283
5636,Urban,55,Lithium-Ion,291
5637,Urban,66,Lithium-Ion,254
5638,Urban,64,Lead-Acid,193
5639,Suburban,60,Lead-Acid,187
5640,Suburban,71,Lithium-Ion,171
5641,Urban,74,Lead-Acid,151
5642,Suburban,52,Lead-Acid,154
5643,Suburban,68,Lead-Acid,207
5644,Suburban,70,Lithium-Ion,259
5645,Urban,78,Lead-Acid,208
5646,Suburban,54,Lithium-Ion,246
5647,Suburban,56,Lead-Acid,182
5648,Urban,40,Lithium-Ion,274
5649,Urban,71,Lithium-Ion,272
5650,Suburban,45,Lithium-Ion,253
5651,Suburban,51,Lithium-Ion,201
5652,Urban,65,Lead-Acid,186
5653,Suburban,55,Lead-Acid,172
5654,Urban,50,Lithium-Ion,289
5655,Suburban,55,Lithium-Ion,239
5656,Urban,44,Lithium-Ion,195
5657,Urban,68,Lead-Acid,241
5658,Suburban,74,Lead-Acid,213
5659,Suburban,69,Lead-Acid,184
5660,Urban,72,Lead-Acid,250
5661,Suburban,70,Lithium-Ion,206
5662,Urban,40,Lithium-Ion,181
5663,Urban,47,Lead-Acid,272
5664,Suburban,71,Lead-Acid,258
5665,Urban,74,Lithium-Ion,281
5666,Urban,58,Lithium-Ion,265
5667,Urban,76,Lead-Acid,229
5668,Urban,79,Lead-Acid,275
5669,Urban,61,Lithium-Ion,219
5670,Urban,65,Lead-Acid,281
5671,Suburban,68,Lithium-Ion,222
5672,Urban,74,Lead-Acid,221
5673,Urban,42,Lithium-Ion,294
5674,Suburban,43,Lead-Acid,286
5675,Urban,42,Lead-Acid,196
5676,Suburban,75,Lithium-Ion,285
5677,Suburban,51,Lithium-Ion,159
5678,Urban,43,Lithium-Ion,156
5679,Urban,59,Lithium-Ion,231
5680,Urban,74,Lead-Acid,199
5681,Urban,76,Lead-Acid,154
5682,Urban,63,Lithium-Ion,253
5683,Urban,79,Lithium-Ion,195
5684,Suburban,41,Lead-Acid,160
5685,Urban,66,Lead-Acid,154
5686,Suburban,59,Lithium-Ion,223
5687,Suburban,45,Lithium-Ion,254
5688,Suburban,47,Lead-Acid,181
5689,Urban,76,Lead-Acid,241
5690,Urban,74,Lead-Acid,161
5691,Urban,56,Lead-Acid,253
5692,Suburban,62,Lithium-Ion,193
5693,Urban,55,Lithium-Ion,216
5694,Urban,58,Lead-Acid,185
5695,Suburban,52,Lead-Acid,164
5696,Suburban,40,Lead-Acid,225
